,Term,Stem,wTFref,SType,Pow-Score,Pow-TF,Pow-wTF,Uni-Score,Uni-TF,Uni-wTF
171,annex,annex,,noref,,,,,6.0,1.5596568754873928e-05
172,annie,anni,,noref,,,,,5.0,1.2997140629061606e-05
173,annus,annu,,noref,,,,,3.0,7.798284377436964e-06
174,anointing,anoint,,noref,,,,,5.0,1.2997140629061606e-05
175,anosognosia,anosognosia,,noref,,,,,5.0,1.2997140629061606e-05
176,antarctic,antarct,,noref,,,,,16.0,4.159085001299714e-05
177,antecedent,anteced,,noref,,,,,9.0,2.339485313231089e-05
178,anthem,anthem,,noref,,,,,18.0,4.678970626462178e-05
179,anthems,anthem,,noref,,,,,5.0,1.2997140629061606e-05
180,anthropocentric,anthropocentr,,noref,,,,,16.0,4.159085001299714e-05
181,anthropocentrism,anthropocentr,,noref,,,,,11.0,2.8593709383935534e-05
182,anthropogenic,anthropogen,,noref,,,,,7.0,1.819599688068625e-05
183,anthropologist,anthropologist,,noref,,,,,6.0,1.5596568754873928e-05
184,anthropologists,anthropologist,,noref,,,,,9.0,2.339485313231089e-05
185,anthroposophy,anthroposophi,,noref,,,,,5.0,1.2997140629061606e-05
186,anti,anti,,noref,2.1970731582827088,36.0,0.0013378920767058123,2.2286759832036998,442.0,0.001148947231609046
187,antidote,antidot,,noref,,,,,4.0,1.0397712503249286e-05
188,antidraft,antidraft,,noref,,,,,3.0,7.798284377436964e-06
189,antifeminism,antifemin,,noref,,,,,3.0,7.798284377436964e-06
190,antimilitarism,antimilitar,,noref,,,,,4.0,1.0397712503249286e-05
191,antioch,antioch,,noref,,,,,5.0,1.2997140629061606e-05
192,antisemitism,antisemit,,noref,,,,,6.0,1.5596568754873928e-05
193,antisthenes,antisthen,,noref,,,,,4.0,1.0397712503249286e-05
194,antiwar,antiwar,,noref,,,,,72.0,0.00018715882505848712
195,antley,antley,,noref,,3.0,0.00011149100639215103,,,
196,antoine,antoin,,noref,,,,,8.0,2.079542500649857e-05
197,anubhava,anubhava,,noref,,,,,9.0,2.339485313231089e-05
198,aparigraha,aparigraha,,noref,,,,,3.0,7.798284377436964e-06
199,apf,apf,,noref,,,,,3.0,7.798284377436964e-06
200,aphids,aphid,,noref,,,,,3.0,7.798284377436964e-06
201,apocatastasis,apocatastasi,,noref,,,,,50.0,0.00012997140629061605
202,apokatastasis,apokatastasi,,noref,,,,,19.0,4.93891343904341e-05
203,apolitical,apolit,,noref,,,,,3.0,7.798284377436964e-06
204,apologist,apologist,,noref,,,,,5.0,1.2997140629061606e-05
205,apologists,apologist,,noref,,,,,6.0,1.5596568754873928e-05
206,apophatic,apophat,,noref,,,,,10.0,2.5994281258123212e-05
207,apostasy,apostasi,,noref,,,,,4.0,1.0397712503249286e-05
208,apostle,apostl,,noref,,,,,15.0,3.899142188718482e-05
209,apostles,apostl,,noref,,,,,19.0,4.93891343904341e-05
210,appalachian,appalachian,,noref,,,,,4.0,1.0397712503249286e-05
211,appleseed,applese,,noref,,,,,4.0,1.0397712503249286e-05
212,aqdas,aqda,,noref,,,,,7.0,1.819599688068625e-05
213,aquatic,aquat,,noref,,,,,17.0,4.4190278138809465e-05
214,aquifer,aquif,,noref,,,,,20.0,5.1988562516246424e-05
215,aquifers,aquif,,noref,,,,,4.0,1.0397712503249286e-05
216,aquinas,aquina,,noref,,,,,11.0,2.8593709383935534e-05
217,arabia,arabia,,noref,,3.0,0.00011149100639215103,,16.0,4.159085001299714e-05
218,arachnids,arachnid,,noref,,,,,3.0,7.798284377436964e-06
219,arafat,arafat,,noref,,,,,3.0,7.798284377436964e-06
220,aragon,aragon,,noref,,,,,4.0,1.0397712503249286e-05
221,arbor,arbor,,noref,,,,,4.0,1.0397712503249286e-05
222,archdiocese,archdioces,,noref,,,,,3.0,7.798284377436964e-06
223,archie,archi,,noref,,,,,4.0,1.0397712503249286e-05
224,archon,archon,,noref,,,,,3.0,7.798284377436964e-06
225,arendt,arendt,,noref,,,,,3.0,7.798284377436964e-06
226,areopagite,areopagit,,noref,,,,,6.0,1.5596568754873928e-05
227,argentine,argentin,,noref,,,,,3.0,7.798284377436964e-06
228,argentina,argentina,,noref,,,,,22.0,5.718741876787107e-05
229,arguably,arguabl,,noref,,,,,9.0,2.339485313231089e-05
230,argumentum,argumentum,,noref,,3.0,0.00011149100639215103,,,
231,arianism,arian,,noref,,,,,12.0,3.1193137509747856e-05
232,ariel,ariel,,noref,,,,,3.0,7.798284377436964e-06
233,aristophanes,aristophan,,noref,,,,,3.0,7.798284377436964e-06
234,aristotelian,aristotelian,,noref,,,,,11.0,2.8593709383935534e-05
235,aristotelianism,aristotelian,,noref,,,,,3.0,7.798284377436964e-06
